Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
Gansu,China,37.8099,101.0583,2020-01-26,7,0,0
Guangdong,China,23.3417,113.4244,2020-01-26,111,0,2
Guangxi,China,23.8298,108.7881,2020-01-26,36,0,0
Guizhou,China,26.8154,106.8748,2020-01-26,5,0,0
Hainan,China,19.1959,109.7453,2020-01-26,22,0,0
Hebei,China,39.549,116.1306,2020-01-26,13,1,0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-26,15,1,0
Henan,China,33.882,113.61399999999999,2020-01-26,83,1,0
Hong Kong,China,22.3,114.2,2020-01-26,8,0,0
Hubei,China,30.9756,112.2707,2020-01-26,1058,52,42
Hunan,China,27.6104,111.7088,2020-01-26,69,0,0
Inner Mongolia,China,44.0935,113.9448,2020-01-26,7,0,0
Jiangsu,China,32.9711,119.455,2020-01-26,33,0,1
Jiangxi,China,27.614,115.7221,2020-01-26,36,0,0
Jilin,China,43.6661,126.1923,2020-01-26,4,0,0
Liaoning,China,41.2956,122.6085,2020-01-26,21,0,0
Macau,China,22.1667,113.55,2020-01-26,5,0,0
Ningxia,China,37.2692,106.1655,2020-01-26,4,0,0
Qinghai,China,35.7452,95.9956,2020-01-26,1,0,0
Shaanxi,China,35.1917,108.8701,2020-01-26,22,0,0
Shandong,China,36.3427,118.1498,2020-01-26,46,0,0
Shanghai,China,31.201999999999998,121.4491,2020-01-26,40,1,1
Shanxi,China,37.5777,112.2922,2020-01-26,9,0,0
Sichuan,China,30.6171,102.7103,2020-01-26,44,0,0
Tianjin,China,39.3054,117.323,2020-01-26,14,0,0
Tibet,China,31.6927,88.0924,2020-01-26,0,0,0
Xinjiang,China,41.1129,85.2401,2020-01-26,4,0,0
Yunnan,China,24.974,101.48700000000001,2020-01-26,16,0,0
Zhejiang,China,29.1832,120.0934,2020-01-26,104,0,1
Anhui,China,31.8257,117.2264,2020-01-27,70,0,0
Beijing,China,40.1824,116.4142,2020-01-27,80,1,2
Chongqing,China,30.0572,107.874,2020-01-27,110,0,0
Fujian,China,26.0789,117.9874,2020-01-27,59,0,0
Gansu,China,37.8099,101.0583,2020-01-27,14,0,0
Guangdong,China,23.3417,113.4244,2020-01-27,151,0,4
Guangxi,China,23.8298,108.7881,2020-01-27,46,0,0
Guizhou,China,26.8154,106.8748,2020-01-27,7,0,0
Hainan,China,19.1959,109.7453,2020-01-27,33,1,0
Hebei,China,39.549,116.1306,2020-01-27,18,1,0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-27,21,1,0
Henan,China,33.882,113.61399999999999,2020-01-27,128,1,0
Hong Kong,China,22.3,114.2,2020-01-27,8,0,0
Hubei,China,30.9756,112.2707,2020-01-27,1423,76,45
Hunan,China,27.6104,111.7088,2020-01-27,100,0,0
Inner Mongolia,China,44.0935,113.9448,2020-01-27,11,0,0
Jiangsu,China,32.9711,119.455,2020-01-27,47,0,1
Jiangxi,China,27.614,115.7221,2020-01-27,72,0,2
Jilin,China,43.6661,126.1923,2020-01-27,6,0,0
Liaoning,China,41.2956,122.6085,2020-01-27,27,0,0
Macau,China,22.1667,113.55,2020-01-27,6,0,0
Ningxia,China,37.2692,106.1655,2020-01-27,7,0,0
Qinghai,China,35.7452,95.9956,2020-01-27,6,0,0
Shaanxi,China,35.1917,108.8701,2020-01-27,35,0,0
Shandong,China,36.3427,118.1498,2020-01-27,75,0,0
Shanghai,China,31.201999999999998,121.4491,2020-01-27,53,1,3
Shanxi,China,37.5777,112.2922,2020-01-27,13,0,0
Sichuan,China,30.6171,102.7103,2020-01-27,69,0,0
Tianjin,China,39.3054,117.323,2020-01-27,23,0,0
Tibet,China,31.6927,88.0924,2020-01-27,0,0,0
Xinjiang,China,41.1129,85.2401,2020-01-27,5,0,0
Yunnan,China,24.974,101.48700000000001,2020-01-27,26,0,0
Zhejiang,China,29.1832,120.0934,2020-01-27,128,0,1
Anhui,China,31.8257,117.2264,2020-01-28,106,0,0
Beijing,China,40.1824,116.4142,2020-01-28,91,1,4
Chongqing,China,30.0572,107.874,2020-01-28,132,0,0
Fujian,China,26.0789,117.9874,2020-01-28,80,0,0
Gansu,China,37.8099,101.0583,2020-01-28,19,0,0
Guangdong,China,23.3417,113.4244,2020-01-28,207,0,4
Guangxi,China,23.8298,108.7881,2020-01-28,51,0,2
Guizhou,China,26.8154,106.8748,2020-01-28,9,0,0
Hainan,China,19.1959,109.7453,2020-01-28,40,1,0
Hebei,China,39.549,116.1306,2020-01-28,33,1,0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-28,33,1,0
Henan,China,33.882,113.61399999999999,2020-01-28,168,1,0
Hong Kong,China,22.3,114.2,2020-01-28,8,0,0
Hubei,China,30.9756,112.2707,2020-01-28,3554,125,80
Hunan,China,27.6104,111.7088,2020-01-28,143,0,0
Inner Mongolia,China,44.0935,113.9448,2020-01-28,15,0,0
Jiangsu,China,32.9711,119.455,2020-01-28,70,0,1
Jiangxi,China,27.614,115.7221,2020-01-28,109,0,3
Jilin,China,43.6661,126.1923,2020-01-28,8,0,0
Liaoning,China,41.2956,122.6085,2020-01-28,34,0,0
Macau,China,22.1667,113.55,2020-01-28,7,0,0
Ningxia,China,37.2692,106.1655,2020-01-28,11,0,0
Qinghai,China,35.7452,95.9956,2020-01-28,6,0,0
Shaanxi,China,35.1917,108.8701,2020-01-28,46,0,0
Shandong,China,36.3427,118.1498,2020-01-28,95,0,0
Shanghai,China,31.201999999999998,121.4491,2020-01-28,66,1,4
Shanxi,China,37.5777,112.2922,2020-01-28,27,0,0
Sichuan,China,30.6171,102.7103,2020-01-28,90,0,0
Tianjin,China,39.3054,117.323,2020-01-28,24,0,0
Tibet,China,31.6927,88.0924,2020-01-28,0,0,0
Xinjiang,China,41.1129,85.2401,2020-01-28,10,0,0
Yunnan,China,24.974,101.48700000000001,2020-01-28,44,0,0
Zhejiang,China,29.1832,120.0934,2020-01-28,173,0,3
Anhui,China,31.8257,117.2264,2020-01-29,152,0,2
Beijing,China,40.1824,116.4142,2020-01-29,111,1,4
Chongqing,China,30.0572,107.874,2020-01-29,147,0,1
Fujian,China,26.0789,117.9874,2020-01-29,84,0,0
Gansu,China,37.8099,101.0583,2020-01-29,24,0,0
Guangdong,China,23.3417,113.4244,2020-01-29,277,0,5
Guangxi,China,23.8298,108.7881,2020-01-29,58,0,2
Guizhou,China,26.8154,106.8748,2020-01-29,9,0,1
Hainan,China,19.1959,109.7453,2020-01-29,43,1,0
Hebei,China,39.549,116.1306,2020-01-29,48,1,0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-29,38,1,0
Henan,China,33.882,113.61399999999999,2020-01-29,206,2,1
Hong Kong,China,22.3,114.2,2020-01-29,10,0,0
Hubei,China,30.9756,112.2707,2020-01-29,3554,125,88
Hunan,China,27.6104,111.7088,2020-01-29,221,0,0
Inner Mongolia,China,44.0935,113.9448,2020-01-29,16,0,0
Jiangsu,China,32.9711,119.455,2020-01-29,99,0,1
Jiangxi,China,27.614,115.7221,2020-01-29,109,0,3
Jilin,China,43.6661,126.1923,2020-01-29,9,0,0
Liaoning,China,41.2956,122.6085,2020-01-29,39,0,1
Macau,China,22.1667,113.55,2020-01-29,7,0,0
Ningxia,China,37.2692,106.1655,2020-01-29,12,0,0
Qinghai,China,35.7452,95.9956,2020-01-29,6,0,0
Shaanxi,China,35.1917,108.8701,2020-01-29,56,0,0
Shandong,China,36.3427,118.1498,2020-01-29,130,0,1
Shanghai,China,31.201999999999998,121.4491,2020-01-29,96,1,5
Shanxi,China,37.5777,112.2922,2020-01-29,27,0,1
Sichuan,China,30.6171,102.7103,2020-01-29,108,1,1
Tianjin,China,39.3054,117.323,2020-01-29,27,0,0
Tibet,China,31.6927,88.0924,2020-01-29,0,0,0
Xinjiang,China,41.1129,85.2401,2020-01-29,13,0,0
Yunnan,China,24.974,101.48700000000001,2020-01-29,55,0,0
Zhejiang,China,29.1832,120.0934,2020-01-29,296,0,3
Anhui,China,31.8257,117.2264,2020-01-30,200,0,2
Beijing,China,40.1824,116.4142,2020-01-30,114,1,4
Chongqing,China,30.0572,107.874,2020-01-30,182,0,1
Fujian,China,26.0789,117.9874,2020-01-30,101,0,0
Gansu,China,37.8099,101.0583,2020-01-30,26,0,0
Guangdong,China,23.3417,113.4244,2020-01-30,354,0,10
Guangxi,China,23.8298,108.7881,2020-01-30,78,0,2
Guizhou,China,26.8154,106.8748,2020-01-30,12,0,1
Hainan,China,19.1959,109.7453,2020-01-30,46,1,1
Hebei,China,39.549,116.1306,2020-01-30,65,1,0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-30,44,2,0
Henan,China,33.882,113.61399999999999,2020-01-30,278,2,2
Hong Kong,China,22.3,114.2,2020-01-30,10,0,0
Hubei,China,30.9756,112.2707,2020-01-30,4903,162,90
Hunan,China,27.6104,111.7088,2020-01-30,277,0,2
Inner Mongolia,China,44.0935,113.9448,2020-01-30,19,0,0
Jiangsu,China,32.9711,119.455,2020-01-30,129,0,1
Jiangxi,China,27.614,115.7221,2020-01-30,162,0,5
Jilin,China,43.6661,126.1923,2020-01-30,14,0,1
Liaoning,China,41.2956,122.6085,2020-01-30,41,0,1
Macau,China,22.1667,113.55,2020-01-30,7,0,0
Ningxia,China,37.2692,106.1655,2020-01-30,17,0,0
Qinghai,China,35.7452,95.9956,2020-01-30,8,0,0
Shaanxi,China,35.1917,108.8701,2020-01-30,63,0,0
Shandong,China,36.3427,118.1498,2020-01-30,158,0,1
Shanghai,China,31.201999999999998,121.4491,2020-01-30,112,1,5
Shanxi,China,37.5777,112.2922,2020-01-30,35,0,1
Sichuan,China,30.6171,102.7103,2020-01-30,142,1,1
Tianjin,China,39.3054,117.323,2020-01-30,31,0,0
Tibet,China,31.6927,88.0924,2020-01-30,1,0,0
Xinjiang,China,41.1129,85.2401,2020-01-30,14,0,0
Yunnan,China,24.974,101.48700000000001,2020-01-30,70,0,0
Zhejiang,China,29.1832,120.0934,2020-01-30,428,0,4
Anhui,China,31.8257,117.2264,2020-01-31,237,0,3
Beijing,China,40.1824,116.4142,2020-01-31,139,1,5
Chongqing,China,30.0572,107.874,2020-01-31,211,0,1
Fujian,China,26.0789,117.9874,2020-01-31,120,0,0
Gansu,China,37.8099,101.0583,2020-01-31,29,0,0
Guangdong,China,23.3417,113.4244,2020-01-31,436,0,11
Guangxi,China,23.8298,108.7881,2020-01-31,87,0,2
Guizhou,China,26.8154,106.8748,2020-01-31,29,0,2
Hainan,China,19.1959,109.7453,2020-01-31,52,1,1
Hebei,China,39.549,116.1306,2020-01-31,82,1,0
Heilongjiang,China,47.861999999999995,127.7615,2020-01-31,59,2,0
Henan,China,33.882,113.61399999999999,2020-01-31,352,2,3
Hong Kong,China,22.3,114.2,2020-01-31,12,0,0
Hubei,China,30.9756,112.2707,2020-01-31,5806,204,141
Hunan,China,27.6104,111.7088,2020-01-31,332,0,2
Inner Mongolia,China,44.0935,113.9448,2020-01-31,20,0,1
Jiangsu,China,32.9711,119.455,2020-01-31,168,0,5
Jiangxi,China,27.614,115.7221,2020-01-31,240,0,7
Jilin,China,43.6661,126.1923,2020-01-31,14,0,1
Liaoning,China,41.2956,122.6085,2020-01-31,48,0,1
Macau,China,22.1667,113.55,2020-01-31,7,0,0
Ningxia,China,37.2692,106.1655,2020-01-31,21,0,0
Qinghai,China,35.7452,95.9956,2020-01-31,8,0,0
Shaanxi,China,35.1917,108.8701,2020-01-31,87,0,0
Shandong,China,36.3427,118.1498,2020-01-31,184,0,2
Shanghai,China,31.201999999999998,121.4491,2020-01-31,135,1,9
Shanxi,China,37.5777,112.2922,2020-01-31,39,0,1
Sichuan,China,30.6171,102.7103,2020-01-31,177,1,1
Tianjin,China,39.3054,117.323,2020-01-31,32,0,0
Tibet,China,31.6927,88.0924,2020-01-31,1,0,0
Xinjiang,China,41.1129,85.2401,2020-01-31,17,0,0
Yunnan,China,24.974,101.48700000000001,2020-01-31,83,0,1
Zhejiang,China,29.1832,120.0934,2020-01-31,538,0,14
Anhui,China,31.8257,117.2264,2020-02-01,297,0,5
Beijing,China,40.1824,116.4142,2020-02-01,168,1,9
Chongqing,China,30.0572,107.874,2020-02-01,247,1,3
Fujian,China,26.0789,117.9874,2020-02-01,144,0,0
Gansu,China,37.8099,101.0583,2020-02-01,40,0,0
Guangdong,China,23.3417,113.4244,2020-02-01,535,0,14
Guangxi,China,23.8298,108.7881,2020-02-01,100,0,2
Guizhou,China,26.8154,106.8748,2020-02-01,29,0,2
Hainan,China,19.1959,109.7453,2020-02-01,62,1,1
Hebei,China,39.549,116.1306,2020-02-01,96,1,0
Heilongjiang,China,47.861999999999995,127.7615,2020-02-01,80,2,2
Henan,China,33.882,113.61399999999999,2020-02-01,422,2,3
Hong Kong,China,22.3,114.2,2020-02-01,13,0,0
Hubei,China,30.9756,112.2707,2020-02-01,7153,249,168
Hunan,China,27.6104,111.7088,2020-02-01,389,0,8
Inner Mongolia,China,44.0935,113.9448,2020-02-01,23,0,1
Jiangsu,China,32.9711,119.455,2020-02-01,202,0,6
Jiangxi,China,27.614,115.7221,2020-02-01,286,0,9
Jilin,China,43.6661,126.1923,2020-02-01,17,0,1
Liaoning,China,41.2956,122.6085,2020-02-01,64,0,1
Macau,China,22.1667,113.55,2020-02-01,7,0,0
Ningxia,China,37.2692,106.1655,2020-02-01,26,0,0
Qinghai,China,35.7452,95.9956,2020-02-01,9,0,0
Shaanxi,China,35.1917,108.8701,2020-02-01,101,0,0
Shandong,China,36.3427,118.1498,2020-02-01,206,0,3
Shanghai,China,31.201999999999998,121.4491,2020-02-01,169,1,10
Shanxi,China,37.5777,112.2922,2020-02-01,47,0,1
Sichuan,China,30.6171,102.7103,2020-02-01,207,1,3
Tianjin,China,39.3054,117.323,2020-02-01,41,0,0
Tibet,China,31.6927,88.0924,2020-02-01,1,0,0
Xinjiang,China,41.1129,85.2401,2020-02-01,18,0,0
Yunnan,China,24.974,101.48700000000001,2020-02-01,93,0,2
Zhejiang,China,29.1832,120.0934,2020-02-01,599,0,21
Anhui,China,31.8257,117.2264,2020-02-02,340,0,7
Beijing,China,40.1824,116.4142,2020-02-02,191,1,9
Chongqing,China,30.0572,107.874,2020-02-02,300,2,7
Fujian,China,26.0789,117.9874,2020-02-02,159,0,0
Gansu,China,37.8099,101.0583,2020-02-02,51,0,3
Guangdong,China,23.3417,113.4244,2020-02-02,632,0,15
Guangxi,China,23.8298,108.7881,2020-02-02,111,0,2
Guizhou,China,26.8154,106.8748,2020-02-02,38,0,2
Hainan,China,19.1959,109.7453,2020-02-02,64,1,4
Hebei,China,39.549,116.1306,2020-02-02,104,1,3
Heilongjiang,China,47.861999999999995,127.7615,2020-02-02,95,2,2
Henan,China,33.882,113.61399999999999,2020-02-02,493,2,10
Hong Kong,China,22.3,114.2,2020-02-02,15,0,0
Hubei,China,30.9756,112.2707,2020-02-02,11177,350,295
Hunan,China,27.6104,111.7088,2020-02-02,463,0,16
Inner Mongolia,China,44.0935,113.9448,2020-02-02,27,0,1
Jiangsu,China,32.9711,119.455,2020-02-02,236,0,7
Jiangxi,China,27.614,115.7221,2020-02-02,333,0,12
Jilin,China,43.6661,126.1923,2020-02-02,23,0,1
Liaoning,China,41.2956,122.6085,2020-02-02,70,0,1
Macau,China,22.1667,113.55,2020-02-02,8,0,0
Ningxia,China,37.2692,106.1655,2020-02-02,28,0,0
Qinghai,China,35.7452,95.9956,2020-02-02,11,0,0
Shaanxi,China,35.1917,108.8701,2020-02-02,116,0,0
Shandong,China,36.3427,118.1498,2020-02-02,230,0,6
Shanghai,China,31.201999999999998,121.4491,2020-02-02,182,1,10
Shanxi,China,37.5777,112.2922,2020-02-02,66,0,3
Sichuan,China,30.6171,102.7103,2020-02-02,231,1,11
Tianjin,China,39.3054,117.323,2020-02-02,48,0,1
Tibet,China,31.6927,88.0924,2020-02-02,1,0,0
Xinjiang,China,41.1129,85.2401,2020-02-02,21,0,0
Yunnan,China,24.974,101.48700000000001,2020-02-02,105,0,3
Zhejiang,China,29.1832,120.0934,2020-02-02,661,0,32
Anhui,China,31.8257,117.2264,2020-02-03,408,0,14
Beijing,China,40.1824,116.4142,2020-02-03,212,1,12
Chongqing,China,30.0572,107.874,2020-02-03,337,2,9
Fujian,China,26.0789,117.9874,2020-02-03,179,0,1
Gansu,China,37.8099,101.0583,2020-02-03,55,0,3
Guangdong,China,23.3417,113.4244,2020-02-03,725,0,21
Guangxi,China,23.8298,108.7881,2020-02-03,127,0,7
Guizhou,China,26.8154,106.8748,2020-02-03,46,0,2
Hainan,China,19.1959,109.7453,2020-02-03,72,1,4
Hebei,China,39.549,116.1306,2020-02-03,113,1,3
Heilongjiang,China,47.861999999999995,127.7615,2020-02-03,121,2,2
Henan,China,33.882,113.61399999999999,2020-02-03,566,2,16
Hong Kong,China,22.3,114.2,2020-02-03,15,0,0
Hubei,China,30.9756,112.2707,2020-02-03,13522,414,386
Hunan,China,27.6104,111.7088,2020-02-03,521,0,22
Inner Mongolia,China,44.0935,113.9448,2020-02-03,34,0,1
Jiangsu,China,32.9711,119.455,2020-02-03,271,0,8
Jiangxi,China,27.614,115.7221,2020-02-03,391,0,18
Jilin,China,43.6661,126.1923,2020-02-03,31,0,1
Liaoning,China,41.2956,122.6085,2020-02-03,74,0,1
Macau,China,22.1667,113.55,2020-02-03,8,0,0
Ningxia,China,37.2692,106.1655,2020-02-03,31,0,1
Qinghai,China,35.7452,95.9956,2020-02-03,13,0,0
Shaanxi,China,35.1917,108.8701,2020-02-03,128,0,0
Shandong,China,36.3427,118.1498,2020-02-03,259,0,7
Shanghai,China,31.201999999999998,121.4491,2020-02-03,203,1,10
Shanxi,China,37.5777,112.2922,2020-02-03,74,0,2
Sichuan,China,30.6171,102.7103,2020-02-03,254,1,14
Tianjin,China,39.3054,117.323,2020-02-03,60,0,1
Tibet,China,31.6927,88.0924,2020-02-03,1,0,0
Xinjiang,China,41.1129,85.2401,2020-02-03,24,0,0
Yunnan,China,24.974,101.48700000000001,2020-02-03,117,0,5
Zhejiang,China,29.1832,120.0934,2020-02-03,724,0,43
Anhui,China,31.8257,117.2264,2020-02-04,480,0,20
Beijing,China,40.1824,116.4142,2020-02-04,228,1,23
Chongqing,China,30.0572,107.874,2020-02-04,366,2,9
Fujian,China,26.0789,117.9874,2020-02-04,194,0,3
Gansu,China,37.8099,101.0583,2020-02-04,57,0,4
Guangdong,China,23.3417,113.4244,2020-02-04,813,0,30
Guangxi,China,23.8298,108.7881,2020-02-04,139,0,10
Guizhou,China,26.8154,106.8748,2020-02-04,58,0,2
Hainan,China,19.1959,109.7453,2020-02-04,80,1,5
Hebei,China,39.549,116.1306,2020-02-04,126,1,4
Heilongjiang,China,47.861999999999995,127.7615,2020-02-04,155,2,4
Henan,China,33.882,113.61399999999999,2020-02-04,675,2,27
Hong Kong,China,22.3,114.2,2020-02-04,17,1,0
Hubei,China,30.9756,112.2707,2020-02-04,16678,479,522
Hunan,China,27.6104,111.7088,2020-02-04,593,0,31
Inner Mongolia,China,44.0935,113.9448,2020-02-04,35,0,1
Jiangsu,China,32.9711,119.455,2020-02-04,308,0,12
Jiangxi,China,27.614,115.7221,2020-02-04,476,0,20
Jilin,China,43.6661,126.1923,2020-02-04,42,0,1
Liaoning,China,41.2956,122.6085,2020-02-04,81,0,2
