Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Singapore,1.2833,103.8333,4/21/20,9125,11,839
,Singapore,1.2833,103.8333,4/22/20,10141,12,896
,Singapore,1.2833,103.8333,4/23/20,11178,12,924
,Singapore,1.2833,103.8333,4/24/20,12075,12,956
,Singapore,1.2833,103.8333,4/25/20,12693,12,1002
,Singapore,1.2833,103.8333,4/26/20,13624,12,1060
,Singapore,1.2833,103.8333,4/27/20,14423,14,1095
,Singapore,1.2833,103.8333,4/28/20,14951,14,1128
,Singapore,1.2833,103.8333,4/29/20,15641,14,1188
,Singapore,1.2833,103.8333,4/30/20,16169,15,1244
,Singapore,1.2833,103.8333,5/1/20,17101,16,1268
,Singapore,1.2833,103.8333,5/2/20,17548,17,1347
,Singapore,1.2833,103.8333,5/3/20,18205,18,1408
,Singapore,1.2833,103.8333,5/4/20,18778,18,1457
,Singapore,1.2833,103.8333,5/5/20,19410,18,1519
,Singapore,1.2833,103.8333,5/6/20,20198,20,1634
,Singapore,1.2833,103.8333,5/7/20,20939,20,1712
